,Prin1,Prin2,Prin3,Prin4,Prin5,Prin6,Prin7,Prin8,Prin9,Prin10,Prin11,Prin12,Prin13,Prin14,Prin15,Prin16,Prin17,Prin18,Prin19,Prin20,Prin21,Prin22,Prin23
polarity,0.05731,-0.268549,0.128682,-0.077133,-0.317289,-0.099466,0.247995,-0.041508,-0.104051,0.418159,-0.065067,0.056614,-0.281858,0.501971,-0.306796,0.061407,0.282025,-0.04283,0.139796,0.019965,-0.056885,0.015092,-0.032945
bodyLgt,0.022509,-0.120122,-0.036132,-0.212599,0.382823,-0.376717,-0.062284,-0.01913,0.025159,0.042233,0.402818,0.034522,0.247928,0.52579,0.284384,-0.027372,-0.078956,-0.037564,-0.202446,0.0823,-0.062949,0.016208,-0.028298
Punct,0.042257,0.094661,-0.032445,0.416042,0.194232,0.131313,0.01346,-0.479109,-0.004472,-0.153231,-0.25572,0.260019,0.235636,0.24506,0.119324,0.202399,0.389338,0.054793,0.048578,-0.078085,0.015092,0.164114,0.113688
x1,0.357744,0.161303,-0.071812,-0.187155,0.074641,0.034778,-0.131873,-0.142513,-0.012486,0.231459,0.1413,-0.231601,-0.210861,-0.175781,0.23421,-0.037536,0.493482,0.011851,-0.113335,0.081969,0.473526,-0.092898,-0.079321
x2,-0.216444,0.31088,-0.089895,-0.281824,-0.172131,0.11051,-0.022121,-0.249859,0.081623,0.077698,-0.050637,0.159556,-0.271787,0.201903,0.141794,0.3647,-0.397451,-0.075022,-0.147934,-0.253748,0.289961,0.001709,0.147735
x3,0.287362,0.011326,0.280977,0.02518,0.175761,0.106972,0.379932,0.116327,0.283313,-0.015718,0.198936,0.246122,0.123273,0.003616,-0.082091,-0.085727,-0.07543,0.102752,0.209539,-0.461281,0.241646,-0.307178,-0.043003
x4,0.15669,-0.037288,0.407433,0.115827,-0.119913,-0.316749,-0.233235,0.162317,-0.009828,0.092145,-0.179513,-0.242167,0.329988,-0.047659,-0.17645,0.282082,-0.045439,-0.121359,-0.2483,-0.250005,0.252231,0.264895,0.055887
x5,0.203417,0.298191,0.228933,-0.122853,-0.053808,0.310142,-0.373507,0.248879,0.109499,0.128425,-0.029998,0.03309,-0.00332,0.217133,0.087296,-0.208151,0.103782,0.062388,0.005536,-0.061175,-0.344248,-0.000201,0.485946
x6,-0.365866,0.154113,0.222286,-0.267268,0.161754,0.104718,-0.045725,-0.046789,0.017943,-0.014737,0.142744,0.065055,0.100174,0.002752,-0.217375,-0.268568,0.088265,-0.088525,0.370872,0.103125,0.298562,0.521079,-0.033122
x7,0.139428,0.254213,0.231218,0.150473,0.005104,-0.089955,-0.084361,0.33917,-0.42627,-0.18311,-0.120537,0.400216,-0.219355,0.124722,0.219463,-0.010681,-0.040422,-0.255969,0.06638,0.145216,0.115,-0.037739,-0.316822
x8,0.000075,-0.037117,0.129104,-0.012565,0.606148,0.030437,0.255267,0.114081,-0.045458,0.263615,-0.288984,0.123156,-0.243797,-0.140584,-0.160608,0.074391,-0.110851,0.133838,-0.308485,0.247504,0.029672,0.090155,0.242653
x9,0.240494,-0.246699,0.152145,-0.143919,-0.178686,-0.133839,0.109249,-0.106093,0.390232,-0.01971,0.060794,0.339748,-0.090661,-0.319481,0.30505,0.137776,0.017893,-0.306567,0.064681,0.189716,-0.174483,0.299133,0.126037
x10,0.230058,-0.03619,0.274198,0.020717,-0.196916,0.260068,0.278008,-0.135258,0.095987,-0.323014,-0.113569,-0.337179,0.015496,0.282928,0.126913,-0.176422,-0.255338,0.152291,-0.149249,0.383757,0.175147,0.101896,-0.038752
x11,-0.002791,0.348894,-0.042429,-0.076121,-0.079758,-0.496765,-0.051069,0.04532,0.34517,-0.009325,-0.264219,0.06602,0.093542,0.036568,-0.086032,0.093229,0.008897,0.344207,0.299515,0.356958,0.077543,-0.225477,0.027413
x12,-0.344723,0.102413,0.287753,-0.125052,-0.133967,0.198388,0.124574,0.129731,0.100252,0.201062,0.014049,0.09741,0.187632,-0.085421,0.256199,0.184517,0.229627,0.347419,-0.277672,0.006945,-0.19733,0.019373,-0.436282
x13,-0.299384,0.094255,0.265423,0.099832,0.062148,-0.028608,0.001239,0.026259,0.252898,-0.395006,0.25692,-0.109007,-0.243857,0.050809,-0.254862,0.184781,0.308341,-0.305761,-0.22602,0.122307,-0.031379,-0.294172,0.120601
x14,0.049835,-0.043118,-0.315662,0.394896,-0.147847,0.114918,-0.084646,0.377672,0.201366,0.014442,0.378531,0.196256,-0.114674,0.10176,-0.109518,0.138224,-0.007087,0.286508,-0.119407,0.131164,0.244078,0.319126,0.055025
x15,0.059794,-0.005395,0.375595,0.081855,-0.072558,-0.150436,-0.139866,-0.371614,-0.384494,-0.028374,0.419977,0.092155,-0.151704,-0.192831,-0.06955,0.101051,-0.135184,0.437813,0.077133,0.056,-0.096658,-0.031699,0.157864
x16,0.330947,0.27509,-0.017365,0.05794,0.190342,0.174801,-0.178574,-0.212243,0.203976,0.166889,0.117562,-0.087691,-0.04565,0.035023,-0.34837,0.194735,-0.211538,-0.158463,0.04421,0.099209,-0.297859,0.096985,-0.483813
x17,-0.032767,0.355248,-0.055933,0.19211,-0.215866,0.023263,0.329048,-0.074254,-0.166554,0.35205,0.224505,0.081454,0.411413,-0.105663,-0.060711,-0.098684,-0.065259,-0.321341,-0.137152,0.275641,0.038917,-0.141051,0.213264
x18,-0.026607,-0.404294,0.063541,-0.132106,0.049928,0.381332,-0.320384,0.050138,-0.057651,0.078363,-0.02315,0.126594,0.282718,0.022173,-0.040761,0.342239,-0.075465,-0.070526,0.203144,0.334224,0.225304,-0.346621,0.038684
x19,0.18185,0.176426,-0.147171,-0.292913,0.063555,0.068486,0.353491,0.252748,-0.27852,-0.24179,0.114596,-0.227912,0.105521,-0.0051,0.000586,0.518916,0.136383,0.03989,0.23718,-0.007852,-0.152647,0.168613,0.144895
x20,-0.219356,0.00486,0.16649,0.423364,0.150719,-0.006528,0.045755,0.082179,0.109468,0.305161,0.06554,-0.406025,-0.181911,0.036252,0.422376,0.147341,-0.126047,-0.094812,0.42051,-0.001925,-0.015252,-0.000591,0.0508
Max,0.357744,0.355248,0.407433,0.423364,0.606148,0.381332,0.379932,0.377672,0.390232,0.418159,0.419977,0.400216,0.411413,0.52579,0.422376,0.518916,0.493482,0.437813,0.42051,0.383757,0.473526,0.521079,0.485946
Min,-0.365866,-0.404294,-0.315662,-0.292913,-0.317289,-0.496765,-0.373507,-0.479109,-0.42627,-0.395006,-0.288984,-0.406025,-0.281858,-0.319481,-0.34837,-0.268568,-0.397451,-0.321341,-0.308485,-0.461281,-0.344248,-0.346621,-0.483813
Mean,0.0370361739130435,0.0627435217391304,0.104562347826087,0.00203165217391305,0.0186267826086957,0.0152636086956522,0.0178423043478261,0.00288917391304348,0.0316131304347826,0.0429428695652174,0.0498642608695652,0.0320176086956522,0.0032124347826087,0.0572147826086956,0.0123683043478261,0.0919411739130435,0.0188506956521739,0.00413091304347826,0.0111771304347826,0.0661708260869565,0.0455212608695652,0.0261196086956522,0.0212232173913043
StDev,0.209810692954095,0.20331955531019,0.184456739248384,0.213190564987079,0.212348306592549,0.212628741491049,0.212418866678216,0.213180240985853,0.210736212166539,0.208630479781687,0.207014666703554,0.210672317117612,0.213175526437472,0.205017637238839,0.212825291624254,0.191356127716848,0.212327721850709,0.213158903980301,0.212894198236697,0.202180591590932,0.208058049737702,0.211521423265253,0.212093540892811
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,X18,x4,"Punct, X20",,,,,,,,,,,,,,,,,,,
